Date,AAPL Open,AAPL High,AAPL Low,AAPL Close,AAPL Adj Close,AAPL Volume,FB Open,FB High,FB Low,FB Close,FB Adj Close,FB Volume,KO Open,KO High,KO Low,KO Close,KO Adj Close,KO Volume,SPOT Open,SPOT High,SPOT Low,SPOT Close,SPOT Adj Close,SPOT Volume
13/10/20,125.269997,125.389999,119.650002,121.099998,120.506355,262330500,277.579987,279.100006,273.390015,276.140015,276.140015,18063300,50.990002,50.990002,49.900002,50.220001,49.048389,14365300,254,268.25,252.820007,266.950012,266.950012,1591600
14/10/20,121,123.029999,119.620003,121.190002,120.595924,150712000,277.619995,278.75,271.5,271.820007,271.820007,15577800,50.049999,50.490002,49.650002,50.119999,48.950718,10582100,268.859985,269,257.170013,257.619995,257.619995,989600
15/10/20,118.720001,121.199997,118.150002,120.709999,120.118271,112559200,267.600006,269.040009,263.670013,266.720001,266.720001,15416100,49.400002,50.130001,49.299999,49.990002,48.823757,9961700,253.970001,261.869995,250.630005,261.549988,261.549988,904000
16/10/20,121.279999,121.550003,118.809998,119.019997,118.436554,115393800,267.380005,271.369995,265.299988,265.929993,265.929993,16622700,49.990002,50.349998,49.869999,50.029999,48.862816,13569800,263.98999,268.25,262.149994,262.549988,262.549988,1038300
19/10/20,119.959999,120.419998,115.660004,115.980003,115.411461,120639300,265.529999,268.549988,259.880005,261.399994,261.399994,13587000,50.029999,50.48,49.459999,49.619999,48.462383,9930400,263.170013,267.48999,259.765015,261.01001,261.01001,818800
20/10/20,116.199997,118.980003,115.629997,117.510002,116.933968,124423700,263.059998,269.700012,262.880005,267.559998,267.559998,18763200,49.889999,50.619999,49.790001,50.25,49.077686,10970700,260.040009,263.717987,257.320007,260.950012,260.950012,904200
21/10/20,116.669998,118.709999,116.449997,116.870003,116.297104,89946000,279.559998,283.049988,276.369995,278.730011,278.730011,28998600,49.959999,50.43,49.77,49.990002,48.823757,12517400,262.149994,273.575012,260.630005,271.320007,271.320007,1359500
22/10/20,117.449997,118.040001,114.589996,115.75,115.182587,101988000,279.869995,282.450012,275.040009,278.119995,278.119995,16720000,51.169998,51.200001,50.380001,50.68,49.497654,20189200,269.540009,274,266.182007,271.880005,271.880005,1216200
23/10/20,116.389999,116.550003,114.279999,115.040001,114.476074,82572600,278.799988,285.23999,276.820007,284.790009,284.790009,17535200,51,51.18,50.470001,50.52,49.341389,13491300,270.380005,284.127991,270.380005,283.48999,283.48999,1349800
26/10/20,114.010002,116.550003,112.879997,115.050003,114.486023,111850700,283.160004,285.230011,274.26001,277.109985,277.109985,21322900,50.34,50.509998,49.200001,49.799999,48.638187,14696400,280.230011,286.549988,280,284.959991,284.959991,1921300
